,Salary,latd,longt
"El Paso, TX",65.49736842,31.7775757,-106.4424559
"Indianapolis, IN",75.29894395,39.768403,-86.158068
"Nashville, TN",76.19097539,36.1626638,-86.7816016
"San Antonio, TX",76.35205245,29.4241219,-98.4936282
"Jacksonville, FL",79.1461825,30.3321838,-81.655651
"Columbus, OH",81.00489282,39.9611755,-82.9987942
"Houston, TX",81.7309008,29.7604267,-95.3698028
"Philadelphia, PA",82.70056497,39.9525839,-75.1652215
"Fort Worth, TX",82.70517928,32.7554883,-97.3307658
"Detroit, MI",82.76307809,42.331427,-83.0457538
"Phoenix, AZ",83.06031934,33.4483771,-112.0740373
"Dallas, TX",85.83419934,32.7766642,-96.7969879
"Charlotte, NC",86.09505627,35.2270869,-80.8431267
"Portland, OR",88.77461487,45.5230622,-122.6764816
"San Diego, CA",90.10316781,32.715738,-117.1610838
"Denver, CO",90.77692714,39.7392358,-104.990251
"Austin, TX",91.67404866,30.267153,-97.7430608
"Chicago, IL",92.20604209,41.8781136,-87.6297982
"Washington, DC",93.29369748,38.9071923,-77.0368707
"Boston, MA",97.64776632,42.3600825,-71.0588801
"Los Angeles, CA",97.71670135,34.0522342,-118.2436849
"New York, NY",99.9926571,40.7127837,-74.0059413
"Seattle, WA",105.1459481,47.6062095,-122.3320708
"San Jose, CA",115.6252285,37.3382082,-121.8863286
"San Francisco, CA",122.8095238,37.7749295,-122.4194155
