date,Immigration,visas,residence permit,isPartial
2015-08-02,27,3,0,False
2015-08-09,27,3,1,False
2015-08-16,30,3,1,False
2015-08-23,30,3,1,False
2015-08-30,32,3,1,False
2015-09-06,33,3,0,False
2015-09-13,32,3,1,False
2015-09-20,31,3,1,False
2015-09-27,30,3,0,False
2015-10-04,30,3,0,False
2015-10-11,29,3,0,False
2015-10-18,30,3,0,False
2015-10-25,29,3,0,False
2015-11-01,31,3,0,False
2015-11-08,32,3,1,False
2015-11-15,33,3,0,False
2015-11-22,25,3,0,False
2015-11-29,28,3,0,False
2015-12-06,31,3,0,False
2015-12-13,27,3,0,False
2015-12-20,21,2,0,False
2015-12-27,21,3,0,False
2016-01-03,34,3,1,False
2016-01-10,30,3,0,False
2016-01-17,30,3,0,False
2016-01-24,29,3,0,False
2016-01-31,29,3,0,False
2016-02-07,28,3,0,False
2016-02-14,29,3,1,False
2016-02-21,31,3,1,False
2016-02-28,32,3,0,False
2016-03-06,31,3,0,False
2016-03-13,30,3,0,False
2016-03-20,27,2,0,False
2016-03-27,26,3,1,False
2016-04-03,28,3,1,False
2016-04-10,28,3,0,False
2016-04-17,30,3,0,False
2016-04-24,28,3,0,False
2016-05-01,29,3,0,False
2016-05-08,28,3,0,False
2016-05-15,27,3,0,False
2016-05-22,26,3,0,False
2016-05-29,25,3,0,False
2016-06-05,27,3,0,False
2016-06-12,27,3,1,False
2016-06-19,36,3,1,False
2016-06-26,28,3,1,False
2016-07-03,24,3,1,False
2016-07-10,25,3,1,False
2016-07-17,25,3,1,False
2016-07-24,27,3,0,False
2016-07-31,27,3,0,False
2016-08-07,24,3,1,False
2016-08-14,25,3,0,False
2016-08-21,27,3,1,False
2016-08-28,32,3,1,False
2016-09-04,26,3,0,False
2016-09-11,26,3,0,False
2016-09-18,28,3,1,False
2016-09-25,28,3,0,False
2016-10-02,27,6,0,False
2016-10-09,28,4,0,False
2016-10-16,28,4,0,False
2016-10-23,28,3,0,False
2016-10-30,30,4,1,False
2016-11-06,77,5,1,False
2016-11-13,39,3,1,False
2016-11-20,28,3,0,False
2016-11-27,30,3,0,False
2016-12-04,29,3,0,False
2016-12-11,26,3,0,False
2016-12-18,23,2,0,False
2016-12-25,19,2,0,False
2017-01-01,25,3,0,False
2017-01-08,28,3,0,False
2017-01-15,30,3,1,False
2017-01-22,48,5,1,False
2017-01-29,100,8,1,False
2017-02-05,54,4,0,False
2017-02-12,55,3,0,False
2017-02-19,51,3,1,False
2017-02-26,45,4,1,False
2017-03-05,39,4,0,False
2017-03-12,34,3,1,False
2017-03-19,32,3,1,False
2017-03-26,32,3,0,False
2017-04-02,31,3,0,False
2017-04-09,29,3,0,False
2017-04-16,34,4,0,False
2017-04-23,33,3,0,False
2017-04-30,31,3,0,False
2017-05-07,30,3,0,False
2017-05-14,28,3,0,False
2017-05-21,32,3,1,False
2017-05-28,29,3,0,False
2017-06-04,28,3,1,False
2017-06-11,28,3,1,False
2017-06-18,27,3,1,False
2017-06-25,27,3,1,False
2017-07-02,26,3,0,False
2017-07-09,26,3,1,False
2017-07-16,26,3,0,False
2017-07-23,26,3,1,False
2017-07-30,34,3,1,False
2017-08-06,28,3,1,False
2017-08-13,26,3,1,False
2017-08-20,26,3,0,False
2017-08-27,25,3,0,False
2017-09-03,31,3,1,False
2017-09-10,28,3,0,False
2017-09-17,28,3,1,False
2017-09-24,27,3,1,False
2017-10-01,27,3,1,False
2017-10-08,29,4,0,False
2017-10-15,28,3,0,False
2017-10-22,28,3,1,False
2017-10-29,29,3,1,False
2017-11-05,29,3,1,False
2017-11-12,28,3,1,False
2017-11-19,26,3,1,False
2017-11-26,29,3,1,False
2017-12-03,28,3,0,False
2017-12-10,27,2,0,False
2017-12-17,24,2,0,False
2017-12-24,20,2,0,False
2017-12-31,27,3,0,False
2018-01-07,36,3,1,False
2018-01-14,34,3,1,False
2018-01-21,36,3,0,False
2018-01-28,36,3,1,False
2018-02-04,32,3,1,False
2018-02-11,34,3,1,False
2018-02-18,30,3,1,False
2018-02-25,30,3,1,False
2018-03-04,30,3,0,False
2018-03-11,29,3,0,False
2018-03-18,28,3,0,False
2018-03-25,26,3,1,False
2018-04-01,30,3,1,False
2018-04-08,29,3,1,False
2018-04-15,29,3,1,False
2018-04-22,29,3,0,False
2018-04-29,29,3,1,False
2018-05-06,28,3,1,False
2018-05-13,28,3,1,False
2018-05-20,27,3,1,False
2018-05-27,27,3,1,False
2018-06-03,28,3,1,False
2018-06-10,31,3,0,False
2018-06-17,67,3,1,False
2018-06-24,39,3,1,False
2018-07-01,32,3,1,False
2018-07-08,30,3,1,False
2018-07-15,28,3,1,False
2018-07-22,27,3,1,False
2018-07-29,28,3,1,False
2018-08-05,29,3,1,False
2018-08-12,27,3,1,False
2018-08-19,27,3,1,False
2018-08-26,27,3,1,False
2018-09-02,26,2,1,False
2018-09-09,27,3,1,False
2018-09-16,28,3,1,False
2018-09-23,29,3,1,False
2018-09-30,28,5,1,False
2018-10-07,27,3,1,False
2018-10-14,29,3,1,False
2018-10-21,30,3,1,False
2018-10-28,32,3,1,False
2018-11-04,31,3,1,False
2018-11-11,28,3,1,False
2018-11-18,25,2,1,False
2018-11-25,29,2,1,False
2018-12-02,29,2,1,False
2018-12-09,29,2,0,False
2018-12-16,27,2,1,False
2018-12-23,20,2,0,False
2018-12-30,24,2,1,False
2019-01-06,34,3,1,False
2019-01-13,31,3,1,False
2019-01-20,28,3,1,False
2019-01-27,28,3,1,False
2019-02-03,30,3,1,False
2019-02-10,30,3,1,False
2019-02-17,28,3,1,False
2019-02-24,27,2,1,False
2019-03-03,28,3,1,False
2019-03-10,28,3,1,False
2019-03-17,28,3,1,False
2019-03-24,27,3,1,False
2019-03-31,28,3,1,False
2019-04-07,29,3,1,False
2019-04-14,27,3,1,False
2019-04-21,27,3,1,False
2019-04-28,28,3,0,False
2019-05-05,27,4,1,False
2019-05-12,30,3,1,False
2019-05-19,27,3,1,False
2019-05-26,26,3,1,False
2019-06-02,26,3,1,False
2019-06-09,26,3,1,False
2019-06-16,31,3,1,False
2019-06-23,33,3,1,False
2019-06-30,27,3,1,False
2019-07-07,31,3,1,False
2019-07-14,34,3,1,False
2019-07-21,29,3,1,False
2019-07-28,27,3,1,False
2019-08-04,28,3,1,False
2019-08-11,30,3,1,False
2019-08-18,29,3,1,False
2019-08-25,28,3,1,False
2019-09-01,27,3,1,False
2019-09-08,29,3,1,False
2019-09-15,30,3,1,False
2019-09-22,29,4,1,False
2019-09-29,29,5,1,False
2019-10-06,29,4,1,False
2019-10-13,27,4,1,False
2019-10-20,27,3,1,False
2019-10-27,27,4,1,False
2019-11-03,29,4,1,False
